Time,Open,High,Low,Close,Volume
2023-01-01 00:00:00,4.308,4.313,4.3,4.301,18855.85
2023-01-01 00:15:00,4.3,4.308,4.298,4.308,12555.55
2023-01-01 00:30:00,4.308,4.308,4.278,4.282,89829.18
2023-01-01 00:45:00,4.283,4.288,4.282,4.285,8434.72
2023-01-01 01:00:00,4.284,4.285,4.275,4.282,19410.93
2023-01-01 01:15:00,4.282,4.29,4.277,4.29,45646.51
2023-01-01 01:30:00,4.289,4.293,4.284,4.293,12167.27
2023-01-01 01:45:00,4.291,4.304,4.291,4.298,17528.11
2023-01-01 02:00:00,4.299,4.303,4.29,4.303,8635.7
2023-01-01 02:15:00,4.303,4.307,4.3,4.301,7348.39
2023-01-01 02:30:00,4.301,4.308,4.299,4.301,12913.76
2023-01-01 02:45:00,4.301,4.302,4.299,4.3,3501.12
2023-01-01 03:00:00,4.299,4.303,4.297,4.302,24496.4
2023-01-01 03:15:00,4.302,4.303,4.295,4.303,4716.45
2023-01-01 03:30:00,4.302,4.304,4.297,4.3,14975.93
2023-01-01 03:45:00,4.299,4.302,4.296,4.302,5053.71
2023-01-01 04:00:00,4.301,4.302,4.292,4.295,8324.58
2023-01-01 04:15:00,4.295,4.295,4.288,4.29,7039.48
2023-01-01 04:30:00,4.289,4.29,4.284,4.284,4933.77
2023-01-01 04:45:00,4.284,4.287,4.278,4.283,15866.36
2023-01-01 05:00:00,4.283,4.285,4.28,4.283,7579.36
2023-01-01 05:15:00,4.283,4.293,4.283,4.293,7569.25
2023-01-01 05:30:00,4.293,4.296,4.285,4.287,8028.88
2023-01-01 05:45:00,4.288,4.299,4.288,4.298,7064.69
2023-01-01 06:00:00,4.298,4.298,4.291,4.297,7633.73
2023-01-01 06:15:00,4.296,4.305,4.296,4.304,8442.15
2023-01-01 06:30:00,4.304,4.304,4.296,4.302,4370.91
2023-01-01 06:45:00,4.301,4.302,4.299,4.301,3588.9
2023-01-01 07:00:00,4.301,4.304,4.294,4.296,22833.14
2023-01-01 07:15:00,4.297,4.298,4.288,4.293,18157.96
2023-01-01 07:30:00,4.294,4.301,4.292,4.301,8335.79
2023-01-01 07:45:00,4.3,4.308,4.3,4.304,21748.11
2023-01-01 08:00:00,4.304,4.305,4.293,4.293,18993.8
2023-01-01 08:15:00,4.293,4.299,4.293,4.298,6494.4
2023-01-01 08:30:00,4.299,4.299,4.293,4.296,8019.08
2023-01-01 08:45:00,4.295,4.296,4.289,4.292,13544.86
2023-01-01 09:00:00,4.292,4.295,4.288,4.295,12017.89
2023-01-01 09:15:00,4.295,4.303,4.295,4.299,10480.72
2023-01-01 09:30:00,4.299,4.307,4.299,4.307,7010.03
2023-01-01 09:45:00,4.307,4.32,4.305,4.317,25878.61
2023-01-01 10:00:00,4.316,4.317,4.309,4.312,4519.51
2023-01-01 10:15:00,4.312,4.314,4.311,4.312,7074.09
2023-01-01 10:30:00,4.313,4.318,4.309,4.317,22357.0
2023-01-01 10:45:00,4.317,4.344,4.317,4.341,76722.46
2023-01-01 11:00:00,4.341,4.344,4.333,4.336,31092.88
2023-01-01 11:15:00,4.336,4.336,4.329,4.329,13831.71
2023-01-01 11:30:00,4.329,4.333,4.329,4.331,6543.92
2023-01-01 11:45:00,4.33,4.337,4.328,4.336,19675.06
2023-01-01 12:00:00,4.337,4.342,4.335,4.341,5333.56
2023-01-01 12:15:00,4.34,4.341,4.33,4.333,21364.15
2023-01-01 12:30:00,4.332,4.334,4.328,4.33,12963.09
2023-01-01 12:45:00,4.33,4.333,4.325,4.327,18722.02
2023-01-01 13:00:00,4.327,4.333,4.327,4.332,2033.52
2023-01-01 13:15:00,4.331,4.331,4.323,4.325,24380.78
2023-01-01 13:30:00,4.325,4.328,4.32,4.32,5693.95
2023-01-01 13:45:00,4.319,4.319,4.317,4.318,1480.98
2023-01-01 14:00:00,4.319,4.326,4.319,4.324,3542.53
2023-01-01 14:15:00,4.324,4.329,4.324,4.329,6035.39
2023-01-01 14:30:00,4.329,4.331,4.327,4.327,6451.55
2023-01-01 14:45:00,4.327,4.327,4.322,4.322,4273.47
2023-01-01 15:00:00,4.323,4.327,4.323,4.327,2539.74
2023-01-01 15:15:00,4.327,4.329,4.324,4.327,4433.93
2023-01-01 15:30:00,4.326,4.338,4.326,4.338,4507.61
2023-01-01 15:45:00,4.337,4.339,4.332,4.339,7353.52
2023-01-01 16:00:00,4.339,4.343,4.335,4.336,13347.03
2023-01-01 16:15:00,4.335,4.343,4.333,4.342,11480.02
2023-01-01 16:30:00,4.342,4.344,4.337,4.337,3802.4
2023-01-01 16:45:00,4.337,4.341,4.336,4.34,6139.79
2023-01-01 17:00:00,4.341,4.345,4.34,4.345,7418.79
2023-01-01 17:15:00,4.344,4.358,4.344,4.349,21611.74
2023-01-01 17:30:00,4.35,4.355,4.35,4.353,9898.23
2023-01-01 17:45:00,4.353,4.36,4.35,4.358,11655.08
2023-01-01 18:00:00,4.36,4.367,4.36,4.363,8481.22
2023-01-01 18:15:00,4.362,4.369,4.361,4.368,7585.54
2023-01-01 18:30:00,4.368,4.373,4.366,4.367,7953.05
2023-01-01 18:45:00,4.367,4.367,4.36,4.362,21551.04
2023-01-01 19:00:00,4.362,4.376,4.362,4.376,5907.6
2023-01-01 19:15:00,4.375,4.378,4.366,4.371,23563.15
2023-01-01 19:30:00,4.372,4.372,4.362,4.366,14523.81
2023-01-01 19:45:00,4.365,4.366,4.349,4.355,31703.01
2023-01-01 20:00:00,4.356,4.361,4.356,4.358,8342.47
2023-01-01 20:15:00,4.357,4.369,4.357,4.365,28547.65
2023-01-01 20:30:00,4.366,4.375,4.366,4.367,11035.4
2023-01-01 20:45:00,4.366,4.37,4.366,4.369,5575.96
2023-01-01 21:00:00,4.369,4.371,4.363,4.363,2497.39
2023-01-01 21:15:00,4.364,4.372,4.363,4.369,7080.68
2023-01-01 21:30:00,4.37,4.382,4.369,4.38,34664.22
2023-01-01 21:45:00,4.379,4.387,4.376,4.38,26580.6
2023-01-01 22:00:00,4.379,4.38,4.371,4.372,7426.94
2023-01-01 22:15:00,4.371,4.375,4.371,4.372,6769.9
2023-01-01 22:30:00,4.372,4.377,4.372,4.377,9391.22
2023-01-01 22:45:00,4.378,4.382,4.368,4.373,15901.5
2023-01-01 23:00:00,4.374,4.384,4.374,4.38,8295.82
2023-01-01 23:15:00,4.381,4.382,4.36,4.364,42274.33
2023-01-01 23:30:00,4.364,4.372,4.364,4.369,33317.25
2023-01-01 23:45:00,4.369,4.373,4.366,4.371,4468.42
2023-01-02 00:00:00,4.371,4.379,4.365,4.365,14665.73
2023-01-02 00:15:00,4.365,4.365,4.354,4.357,39816.65
2023-01-02 00:30:00,4.357,4.364,4.355,4.357,11850.55
2023-01-02 00:45:00,4.358,4.359,4.346,4.347,13415.74
2023-01-02 01:00:00,4.347,4.35,4.316,4.328,93674.92
2023-01-02 01:15:00,4.328,4.343,4.321,4.342,24635.95
2023-01-02 01:30:00,4.341,4.346,4.337,4.345,10110.74
2023-01-02 01:45:00,4.345,4.345,4.338,4.338,5140.97
2023-01-02 02:00:00,4.339,4.346,4.335,4.344,7537.5
2023-01-02 02:15:00,4.345,4.356,4.345,4.353,29958.17
2023-01-02 02:30:00,4.353,4.397,4.352,4.385,85250.38
2023-01-02 02:45:00,4.386,4.393,4.374,4.374,25877.4
2023-01-02 03:00:00,4.373,4.401,4.37,4.393,113579.92
2023-01-02 03:15:00,4.393,4.42,4.393,4.411,214036.1
2023-01-02 03:30:00,4.411,4.433,4.411,4.431,69702.23
2023-01-02 03:45:00,4.428,4.452,4.425,4.442,57489.06
2023-01-02 04:00:00,4.442,4.47,4.442,4.468,344081.04
2023-01-02 04:15:00,4.469,4.47,4.452,4.453,165955.49
2023-01-02 04:30:00,4.453,4.459,4.437,4.439,42249.07
2023-01-02 04:45:00,4.439,4.444,4.436,4.444,14260.15
2023-01-02 05:00:00,4.444,4.456,4.443,4.445,25221.73
2023-01-02 05:15:00,4.445,4.447,4.438,4.447,10383.91
2023-01-02 05:30:00,4.446,4.448,4.437,4.447,10428.8
2023-01-02 05:45:00,4.447,4.455,4.442,4.442,24081.97
2023-01-02 06:00:00,4.443,4.454,4.442,4.452,15045.54
2023-01-02 06:15:00,4.452,4.456,4.45,4.452,8099.18
2023-01-02 06:30:00,4.452,4.452,4.438,4.441,14936.37
2023-01-02 06:45:00,4.441,4.441,4.425,4.43,13707.7
2023-01-02 07:00:00,4.43,4.48,4.424,4.478,63776.37
2023-01-02 07:15:00,4.477,4.494,4.455,4.472,148239.4
2023-01-02 07:30:00,4.474,4.492,4.473,4.484,60275.59
2023-01-02 07:45:00,4.484,4.491,4.471,4.472,30693.06
2023-01-02 08:00:00,4.473,4.497,4.472,4.493,60938.25
2023-01-02 08:15:00,4.493,4.5,4.49,4.496,66721.28
2023-01-02 08:30:00,4.497,4.5,4.495,4.497,23182.57
2023-01-02 08:45:00,4.498,4.499,4.487,4.49,23597.74
2023-01-02 09:00:00,4.492,4.5,4.49,4.495,22351.27
