Time,Open,High,Low,Close,Volume
2022-01-01 00:00:00,26.67,26.9,26.66,26.84,54637.95
2022-01-01 00:15:00,26.83,27.02,26.75,26.97,56564.92
2022-01-01 00:30:00,26.97,27.19,26.93,27.12,62393.78
2022-01-01 00:45:00,27.12,27.29,27.11,27.24,52293.43
2022-01-01 01:00:00,27.24,27.31,27.1,27.31,49402.23
2022-01-01 01:15:00,27.31,27.44,27.28,27.36,66035.81
2022-01-01 01:30:00,27.35,27.44,27.28,27.29,38207.02
2022-01-01 01:45:00,27.3,27.32,27.16,27.21,32999.35
2022-01-01 02:00:00,27.22,27.33,27.21,27.3,45623.52
2022-01-01 02:15:00,27.3,27.38,27.23,27.26,48579.07
2022-01-01 02:30:00,27.25,27.25,27.1,27.14,44513.95
2022-01-01 02:45:00,27.14,27.26,27.12,27.2,22892.46
2022-01-01 03:00:00,27.19,27.25,27.17,27.2,18394.19
2022-01-01 03:15:00,27.2,27.26,27.15,27.17,24925.97
2022-01-01 03:30:00,27.17,27.29,27.16,27.26,23265.92
2022-01-01 03:45:00,27.27,27.32,27.17,27.18,23853.36
2022-01-01 04:00:00,27.18,27.3,26.96,26.99,44524.39
2022-01-01 04:15:00,26.99,27.03,26.93,26.96,88244.03
2022-01-01 04:30:00,26.95,27.01,26.88,26.96,55342.98
2022-01-01 04:45:00,26.96,27.08,26.88,26.9,48542.34
2022-01-01 05:00:00,26.91,26.98,26.83,26.97,39726.15
2022-01-01 05:15:00,26.98,27.39,26.93,27.36,90351.92
2022-01-01 05:30:00,27.37,27.52,27.25,27.27,150897.88
2022-01-01 05:45:00,27.27,27.27,27.15,27.24,32186.84
2022-01-01 06:00:00,27.24,27.36,27.15,27.33,34164.13
2022-01-01 06:15:00,27.34,27.34,27.19,27.2,29344.76
2022-01-01 06:30:00,27.2,27.3,27.19,27.21,18601.53
2022-01-01 06:45:00,27.2,27.27,27.13,27.15,39998.51
2022-01-01 07:00:00,27.14,27.23,27.11,27.22,37094.35
2022-01-01 07:15:00,27.21,27.37,27.21,27.34,40467.13
2022-01-01 07:30:00,27.35,27.41,27.27,27.41,29934.97
2022-01-01 07:45:00,27.4,27.44,27.31,27.36,33722.55
2022-01-01 08:00:00,27.36,27.39,27.23,27.33,27697.44
2022-01-01 08:15:00,27.33,27.43,27.29,27.39,102768.18
2022-01-01 08:30:00,27.4,27.4,27.25,27.31,21715.83
2022-01-01 08:45:00,27.31,27.39,27.23,27.27,25410.05
2022-01-01 09:00:00,27.27,27.31,27.2,27.29,32501.39
2022-01-01 09:15:00,27.29,27.3,27.17,27.2,39563.85
2022-01-01 09:30:00,27.19,27.24,27.06,27.12,48886.86
2022-01-01 09:45:00,27.11,27.26,27.08,27.25,52615.38
2022-01-01 10:00:00,27.24,27.29,27.13,27.14,55713.93
2022-01-01 10:15:00,27.14,27.14,26.95,26.98,60194.66
2022-01-01 10:30:00,26.98,27.15,26.85,27.14,83268.08
2022-01-01 10:45:00,27.14,27.21,27.01,27.02,38706.77
2022-01-01 11:00:00,27.03,27.16,27.02,27.13,25481.6
2022-01-01 11:15:00,27.13,27.2,27.06,27.13,27392.86
2022-01-01 11:30:00,27.14,27.16,27.01,27.14,24762.77
2022-01-01 11:45:00,27.13,27.16,27.03,27.03,37430.64
2022-01-01 12:00:00,27.04,27.15,26.89,27.13,170381.82
2022-01-01 12:15:00,27.14,27.15,27.04,27.08,48741.06
2022-01-01 12:30:00,27.08,27.27,27.08,27.2,47390.95
2022-01-01 12:45:00,27.2,27.33,27.2,27.26,55940.07
2022-01-01 13:00:00,27.28,27.33,27.21,27.32,30169.77
2022-01-01 13:15:00,27.31,27.33,27.13,27.2,39251.97
2022-01-01 13:30:00,27.21,27.26,27.12,27.24,18194.66
2022-01-01 13:45:00,27.24,27.28,27.14,27.2,26322.42
2022-01-01 14:00:00,27.19,27.26,27.17,27.18,23587.93
2022-01-01 14:15:00,27.18,27.3,27.17,27.29,39486.55
2022-01-01 14:30:00,27.29,27.3,27.12,27.2,44094.75
2022-01-01 14:45:00,27.2,27.26,27.16,27.22,33623.04
2022-01-01 15:00:00,27.22,27.35,27.17,27.29,36585.81
2022-01-01 15:15:00,27.28,27.46,27.25,27.46,63233.38
2022-01-01 15:30:00,27.45,27.72,27.41,27.64,164737.59
2022-01-01 15:45:00,27.63,27.67,27.53,27.59,68142.67
2022-01-01 16:00:00,27.58,27.74,27.56,27.7,154363.71
2022-01-01 16:15:00,27.69,27.76,27.62,27.72,70305.55
2022-01-01 16:30:00,27.73,27.74,27.58,27.59,37312.66
2022-01-01 16:45:00,27.59,27.65,27.46,27.46,73496.81
2022-01-01 17:00:00,27.47,27.6,27.47,27.51,28086.44
2022-01-01 17:15:00,27.52,27.72,27.51,27.69,82847.26
2022-01-01 17:30:00,27.69,27.96,27.69,27.9,153092.46
2022-01-01 17:45:00,27.9,27.95,27.74,27.94,75361.67
2022-01-01 18:00:00,27.94,28.09,27.86,27.96,124686.32
2022-01-01 18:15:00,27.95,28.02,27.88,27.93,76448.19
2022-01-01 18:30:00,27.93,27.98,27.8,27.82,57997.74
2022-01-01 18:45:00,27.82,27.95,27.8,27.9,39893.13
2022-01-01 19:00:00,27.9,28.02,27.89,27.96,50290.8
2022-01-01 19:15:00,27.97,27.97,27.85,27.93,44167.72
2022-01-01 19:30:00,27.93,27.97,27.85,27.88,48321.47
2022-01-01 19:45:00,27.88,28.01,27.88,27.97,42446.03
2022-01-01 20:00:00,27.97,28.14,27.97,28.09,57753.1
2022-01-01 20:15:00,28.09,28.3,27.98,28.24,83194.09
2022-01-01 20:30:00,28.24,28.4,28.24,28.29,89405.63
2022-01-01 20:45:00,28.28,28.35,28.24,28.31,41935.28
2022-01-01 21:00:00,28.32,28.4,28.24,28.38,48835.35
2022-01-01 21:15:00,28.38,28.38,28.24,28.26,47860.5
2022-01-01 21:30:00,28.26,28.46,28.25,28.39,98012.87
2022-01-01 21:45:00,28.38,28.39,28.2,28.29,60796.34
2022-01-01 22:00:00,28.28,28.35,28.11,28.18,68498.52
2022-01-01 22:15:00,28.18,28.35,28.14,28.34,64363.3
2022-01-01 22:30:00,28.33,28.4,28.33,28.39,17118.56
2022-01-01 22:45:00,28.4,28.42,28.28,28.31,27550.63
2022-01-01 23:00:00,28.31,28.37,28.21,28.32,56888.62
2022-01-01 23:15:00,28.31,28.41,28.29,28.35,24635.95
2022-01-01 23:30:00,28.34,28.47,28.29,28.38,74391.79
2022-01-01 23:45:00,28.39,28.65,28.38,28.6,115149.84
2022-01-02 00:00:00,28.6,28.64,28.24,28.3,79480.8
2022-01-02 00:15:00,28.3,28.41,28.15,28.38,115925.94
2022-01-02 00:30:00,28.38,28.52,28.37,28.37,80544.1
2022-01-02 00:45:00,28.37,28.47,28.34,28.38,37991.9
2022-01-02 01:00:00,28.38,28.39,28.22,28.29,72109.45
2022-01-02 01:15:00,28.29,28.38,28.27,28.35,37157.93
2022-01-02 01:30:00,28.34,28.41,28.2,28.26,80323.97
2022-01-02 01:45:00,28.25,28.27,28.09,28.14,57130.56
2022-01-02 02:00:00,28.15,28.28,28.1,28.25,29068.13
2022-01-02 02:15:00,28.25,28.28,28.13,28.15,51626.76
2022-01-02 02:30:00,28.14,28.21,28.08,28.12,57436.61
2022-01-02 02:45:00,28.12,28.13,28.06,28.09,49714.49
2022-01-02 03:00:00,28.1,28.2,28.08,28.13,45758.42
2022-01-02 03:15:00,28.13,28.31,28.09,28.3,35638.42
2022-01-02 03:30:00,28.3,28.37,28.24,28.26,31980.75
2022-01-02 03:45:00,28.27,28.28,28.13,28.19,15097.78
2022-01-02 04:00:00,28.19,28.3,28.16,28.28,38455.44
2022-01-02 04:15:00,28.28,28.31,28.19,28.31,48758.64
2022-01-02 04:30:00,28.31,28.42,28.21,28.23,78235.7
2022-01-02 04:45:00,28.24,28.24,27.82,27.98,178965.06
2022-01-02 05:00:00,27.97,28.25,27.91,28.09,84353.31
2022-01-02 05:15:00,28.08,28.21,28.07,28.15,48416.22
2022-01-02 05:30:00,28.15,28.29,28.14,28.19,51564.91
2022-01-02 05:45:00,28.19,28.42,28.14,28.42,80018.05
2022-01-02 06:00:00,28.42,28.42,28.26,28.28,52284.49
2022-01-02 06:15:00,28.29,28.43,28.28,28.32,78865.29
2022-01-02 06:30:00,28.33,28.5,28.29,28.43,41903.14
2022-01-02 06:45:00,28.43,28.47,28.3,28.35,38795.49
2022-01-02 07:00:00,28.35,28.4,28.28,28.3,35498.95
2022-01-02 07:15:00,28.3,28.43,28.3,28.42,25818.29
2022-01-02 07:30:00,28.42,28.51,28.37,28.39,55321.43
2022-01-02 07:45:00,28.38,28.42,28.27,28.35,82749.59
2022-01-02 08:00:00,28.36,28.38,28.18,28.3,84813.63
2022-01-02 08:15:00,28.3,28.45,28.28,28.4,55605.24
2022-01-02 08:30:00,28.4,28.45,28.12,28.44,122767.81
2022-01-02 08:45:00,28.44,28.53,28.41,28.45,56514.75
2022-01-02 09:00:00,28.46,28.6,28.4,28.6,101997.02
2022-01-02 09:15:00,28.59,28.88,28.56,28.72,148705.95
2022-01-02 09:30:00,28.72,28.86,28.72,28.84,65837.54
2022-01-02 09:45:00,28.83,28.88,28.76,28.79,63037.66
2022-01-02 10:00:00,28.8,28.8,28.68,28.74,61301.61
2022-01-02 10:15:00,28.74,28.74,28.63,28.66,42876.99
2022-01-02 10:30:00,28.65,28.71,28.62,28.67,32566.69
2022-01-02 10:45:00,28.67,28.79,28.65,28.69,35090.55
2022-01-02 11:00:00,28.69,28.91,28.64,28.85,49494.82
2022-01-02 11:15:00,28.85,28.9,28.74,28.9,84567.31
2022-01-02 11:30:00,28.9,28.94,28.84,28.86,62664.04
2022-01-02 11:45:00,28.85,28.91,28.77,28.91,47332.36
2022-01-02 12:00:00,28.9,28.93,28.68,28.87,101055.29
2022-01-02 12:15:00,28.86,28.93,28.8,28.91,48510.17
2022-01-02 12:30:00,28.91,29.27,28.87,29.15,203175.35
2022-01-02 12:45:00,29.15,29.26,29.08,29.17,99604.71
2022-01-02 13:00:00,29.17,29.18,28.95,28.96,79393.46
2022-01-02 13:15:00,28.96,29.21,28.92,29.21,149640.49
2022-01-02 13:30:00,29.2,29.25,29.09,29.19,90162.63
2022-01-02 13:45:00,29.18,29.3,29.04,29.19,103587.48
2022-01-02 14:00:00,29.19,29.36,29.13,29.3,87723.96
2022-01-02 14:15:00,29.3,29.4,29.2,29.29,113723.81
2022-01-02 14:30:00,29.3,29.45,29.27,29.42,84555.53
2022-01-02 14:45:00,29.41,29.47,29.38,29.45,103728.19
2022-01-02 15:00:00,29.46,29.58,29.33,29.56,168821.63
2022-01-02 15:15:00,29.56,29.77,29.51,29.58,324285.43
2022-01-02 15:30:00,29.58,29.7,29.46,29.66,89116.45
2022-01-02 15:45:00,29.66,29.81,29.62,29.72,102910.47
2022-01-02 16:00:00,29.72,29.8,29.66,29.8,92451.21
2022-01-02 16:15:00,29.8,30.08,29.74,29.93,229123.0
2022-01-02 16:30:00,29.93,30.38,29.93,30.21,332976.77
