Time,Open,High,Low,Close,Volume
2022-01-01 00:00:00,17.01,17.16,17.0,17.11,18302.96
2022-01-01 00:15:00,17.1,17.12,17.03,17.04,24345.57
2022-01-01 00:30:00,17.04,17.22,17.02,17.18,23246.5
2022-01-01 00:45:00,17.17,17.24,17.15,17.21,20828.25
2022-01-01 01:00:00,17.2,17.31,17.12,17.31,22238.01
2022-01-01 01:15:00,17.29,17.37,17.28,17.33,18773.92
2022-01-01 01:30:00,17.33,17.35,17.3,17.33,8831.59
2022-01-01 01:45:00,17.33,17.34,17.26,17.27,10040.91
2022-01-01 02:00:00,17.26,17.34,17.25,17.32,6028.04
2022-01-01 02:15:00,17.32,17.37,17.32,17.33,3721.12
2022-01-01 02:30:00,17.33,17.34,17.26,17.28,6497.63
2022-01-01 02:45:00,17.28,17.32,17.25,17.25,5691.46
2022-01-01 03:00:00,17.26,17.28,17.21,17.23,5125.32
2022-01-01 03:15:00,17.23,17.26,17.19,17.19,5663.16
2022-01-01 03:30:00,17.2,17.23,17.19,17.21,5102.42
2022-01-01 03:45:00,17.21,17.22,17.15,17.16,6490.39
2022-01-01 04:00:00,17.16,17.21,17.07,17.09,11503.6
2022-01-01 04:15:00,17.1,17.15,17.08,17.15,9813.23
2022-01-01 04:30:00,17.14,17.23,17.14,17.23,7023.38
2022-01-01 04:45:00,17.23,17.26,17.17,17.19,8847.83
2022-01-01 05:00:00,17.19,17.23,17.17,17.21,3970.52
2022-01-01 05:15:00,17.23,17.48,17.19,17.45,30247.52
2022-01-01 05:30:00,17.46,17.57,17.33,17.38,59130.53
2022-01-01 05:45:00,17.37,17.37,17.28,17.3,12420.11
2022-01-01 06:00:00,17.29,17.35,17.27,17.33,5990.65
2022-01-01 06:15:00,17.32,17.33,17.22,17.24,8564.22
2022-01-01 06:30:00,17.24,17.26,17.16,17.19,14992.79
2022-01-01 06:45:00,17.2,17.24,17.11,17.14,14474.41
2022-01-01 07:00:00,17.14,17.19,17.11,17.15,14198.41
2022-01-01 07:15:00,17.15,17.18,17.12,17.18,4742.95
2022-01-01 07:30:00,17.18,17.26,17.15,17.24,5040.2
2022-01-01 07:45:00,17.25,17.3,17.21,17.26,14172.97
2022-01-01 08:00:00,17.25,17.27,17.19,17.22,8564.98
2022-01-01 08:15:00,17.23,17.29,17.22,17.26,7454.11
2022-01-01 08:30:00,17.26,17.27,17.19,17.22,5650.34
2022-01-01 08:45:00,17.22,17.24,17.17,17.17,5320.82
2022-01-01 09:00:00,17.18,17.25,17.15,17.24,12492.86
2022-01-01 09:15:00,17.24,17.24,17.17,17.19,6511.15
2022-01-01 09:30:00,17.19,17.2,17.06,17.08,17425.81
2022-01-01 09:45:00,17.09,17.14,17.06,17.12,5511.95
2022-01-01 10:00:00,17.12,17.42,17.11,17.21,72924.39
2022-01-01 10:15:00,17.21,17.22,17.0,17.03,46277.99
2022-01-01 10:30:00,17.01,17.09,16.79,17.09,139022.42
2022-01-01 10:45:00,17.09,17.13,17.0,17.02,11952.82
2022-01-01 11:00:00,17.02,17.09,17.01,17.08,8436.78
2022-01-01 11:15:00,17.08,17.12,17.03,17.08,8367.51
2022-01-01 11:30:00,17.07,17.08,17.0,17.06,15583.61
2022-01-01 11:45:00,17.07,17.08,16.97,16.98,18025.54
2022-01-01 12:00:00,16.98,17.06,16.98,17.06,10940.43
2022-01-01 12:15:00,17.06,17.08,17.04,17.05,5721.11
2022-01-01 12:30:00,17.05,17.11,17.04,17.07,7057.9
2022-01-01 12:45:00,17.07,17.11,17.06,17.09,4915.34
2022-01-01 13:00:00,17.09,17.11,17.04,17.1,13684.79
2022-01-01 13:15:00,17.08,17.11,17.05,17.08,12608.66
2022-01-01 13:30:00,17.08,17.11,17.04,17.1,5518.63
2022-01-01 13:45:00,17.1,17.11,17.06,17.09,5841.18
2022-01-01 14:00:00,17.08,17.1,17.06,17.08,10543.83
2022-01-01 14:15:00,17.08,17.11,17.06,17.09,5973.59
2022-01-01 14:30:00,17.09,17.1,17.01,17.04,9716.97
2022-01-01 14:45:00,17.05,17.11,17.04,17.07,4233.78
2022-01-01 15:00:00,17.07,17.1,17.03,17.08,4409.44
2022-01-01 15:15:00,17.07,17.11,17.06,17.11,4509.19
2022-01-01 15:30:00,17.1,17.22,17.08,17.17,16700.66
2022-01-01 15:45:00,17.16,17.21,17.11,17.12,19187.78
2022-01-01 16:00:00,17.13,17.22,17.11,17.2,7972.76
2022-01-01 16:15:00,17.19,17.26,17.17,17.23,17396.42
2022-01-01 16:30:00,17.23,17.25,17.18,17.21,8164.05
2022-01-01 16:45:00,17.21,17.22,17.14,17.15,6113.74
2022-01-01 17:00:00,17.15,17.19,17.13,17.14,8845.55
2022-01-01 17:15:00,17.14,17.16,17.13,17.16,7022.13
2022-01-01 17:30:00,17.16,17.34,17.15,17.32,27829.15
2022-01-01 17:45:00,17.33,17.35,17.27,17.33,14021.42
2022-01-01 18:00:00,17.33,17.35,17.3,17.31,10702.8
